tilesets/village.png
3,3
6,6
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8
